Year,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2010,Vatican City,<10000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,<10000
2010,Honduras,"6,660,000","10,000","790,000",<10000,<10000,"80,000","40,000",<10000,"7,600,000"
2010,Hong Kong,"1,010,000","130,000","3,950,000","30,000","930,000","900,000","110,000",<10000,"7,050,000"
2010,Hungary,"8,090,000",<10000,"1,860,000",<10000,<10000,<10000,<10000,"10,000","9,980,000"
2010,Iceland,"300,000",<10000,"10,000",<10000,<10000,<10000,<10000,<10000,"320,000"
2010,India,"31,130,000","176,200,000","870,000","973,750,000","9,250,000","5,850,000","27,560,000","10,000","1,224,620,000"
2010,Indonesia,"23,660,000","209,120,000","240,000","4,050,000","1,720,000","750,000","340,000",<10000,"239,870,000"
2010,Iran,"110,000","73,570,000","110,000","20,000",<10000,<10000,"150,000",<10000,"73,980,000"
2010,Iraq,"270,000","31,340,000","40,000",<10000,<10000,<10000,"20,000",<10000,"31,670,000"
2010,Ireland,"4,110,000","50,000","280,000","10,000",<10000,<10000,<10000,<10000,"4,470,000"
2010,Isle of Man,"70,000",<10000,"10,000",<10000,<10000,<10000,<10000,<10000,"80,000"
2010,Israel,"150,000","1,380,000","230,000",<10000,"20,000","20,000",<10000,"5,610,000","7,420,000"
2010,Italy,"50,440,000","2,220,000","7,500,000","90,000","110,000","80,000","60,000","50,000","60,550,000"
2010,Jamaica,"2,120,000",<10000,"470,000",<10000,<10000,"120,000","30,000",<10000,"2,740,000"
2010,Japan,"2,030,000","200,000","72,120,000","30,000","45,820,000","450,000","5,890,000",<10000,"126,540,000"
2010,Jordan,"130,000","6,010,000",<10000,<10000,"20,000",<10000,<10000,<10000,"6,190,000"
2010,Kazakhstan,"3,970,000","11,290,000","670,000",<10000,"40,000","50,000","20,000",<10000,"16,030,000"
2010,Kenya,"34,340,000","3,920,000","1,000,000","60,000",<10000,"690,000","500,000",<10000,"40,510,000"
2010,Kiribati,"90,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"100,000"
2010,Kosovo,"110,000","1,660,000",<10000,<10000,<10000,<10000,<10000,<10000,"1,770,000"
2010,Kuwait,"390,000","2,030,000",<10000,"230,000","80,000",<10000,<10000,<10000,"2,740,000"
2010,Kyrgyzstan,"610,000","4,690,000","20,000",<10000,<10000,<10000,<10000,<10000,"5,330,000"
2010,Laos,"90,000",<10000,"50,000",<10000,"4,100,000","1,910,000","50,000",<10000,"6,200,000"
2010,Latvia,"1,260,000",<10000,"990,000",<10000,<10000,<10000,<10000,<10000,"2,250,000"
2010,Lebanon,"1,620,000","2,590,000","10,000",<10000,<10000,<10000,<10000,<10000,"4,230,000"
2010,Lesotho,"2,100,000",<10000,"70,000",<10000,<10000,<10000,<10000,<10000,"2,170,000"
2010,Liberia,"3,430,000","480,000","60,000",<10000,<10000,"20,000",<10000,<10000,"3,990,000"
2010,Libya,"170,000","6,140,000","10,000",<10000,"20,000",<10000,<10000,<10000,"6,360,000"
2010,Liechtenstein,"30,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"40,000"
2010,Lithuania,"2,980,000",<10000,"330,000",<10000,<10000,<10000,<10000,<10000,"3,320,000"
2010,Luxembourg,"360,000","10,000","140,000",<10000,<10000,<10000,<10000,<10000,"510,000"
2010,Macau,"40,000",<10000,"80,000",<10000,"90,000","320,000",<10000,<10000,"540,000"
2010,Republic of Macedonia,"1,220,000","810,000","30,000",<10000,<10000,<10000,<10000,<10000,"2,060,000"
2010,Madagascar,"17,680,000","620,000","1,440,000","10,000",<10000,"940,000","20,000",<10000,"20,710,000"
2010,Malawi,"12,320,000","1,930,000","370,000",<10000,<10000,"260,000",<10000,<10000,"14,900,000"
2010,Malaysia,"2,670,000","18,100,000","190,000","1,720,000","5,010,000","650,000","60,000",<10000,"28,400,000"
2010,Maldives,<10000,"310,000",<10000,<10000,<10000,<10000,<10000,<10000,"320,000"
2010,Mali,"370,000","14,510,000","70,000",<10000,<10000,"410,000",<10000,<10000,"15,370,000"
2010,Malta,"400,000",<10000,"10,000",<10000,<10000,<10000,<10000,<10000,"420,000"
2010,Marshall Islands,"50,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"50,000"
2010,Martinique,"390,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"410,000"
2010,Mauritania,<10000,"3,430,000",<10000,<10000,<10000,"20,000",<10000,<10000,"3,460,000"
2010,Mauritius,"420,000","220,000",<10000,"630,000",<10000,<10000,<10000,<10000,"1,300,000"
2010,Mayotte,<10000,"200,000",<10000,<10000,<10000,<10000,<10000,<10000,"200,000"
2010,Mexico,"107,910,000",<10000,"5,330,000",<10000,<10000,"70,000","20,000","70,000","113,420,000"
2010,Federated States of Micronesia,"110,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"110,000"
2010,Moldova,"3,480,000","20,000","50,000",<10000,<10000,<10000,<10000,"20,000","3,570,000"
2010,Monaco,"30,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"40,000"
2010,Mongolia,"60,000","90,000","990,000",<10000,"1,520,000","100,000",<10000,<10000,"2,760,000"
2010,Montenegro,"490,000","120,000","20,000",<10000,<10000,<10000,<10000,<10000,"630,000"
2010,Montserrat,<10000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,<10000
2010,Morocco,"20,000","31,930,000",<10000,<10000,<10000,<10000,<10000,<10000,"31,950,000"
2010,Mozambique,"13,260,000","4,200,000","4,200,000",<10000,<10000,"1,720,000",<10000,<10000,"23,390,000"
